,pais,anio,inversion
0,AFG,2018,119.4351057
1,ALB,2018,1289.6890536982
2,DZA,2018,1474.5890692
3,AGO,2018,-6456.0764131
4,ARG,2018,11716.5835681
5,ARM,2018,266.8550488
6,ABW,2018,110.1756500559
7,AUS,2018,67568.1329814736
8,AUT,2018,5389.7691421067
9,AZE,2018,1403.0
10,BHS,2018,947.4300315
11,BHR,2018,1654.2553191489
12,BGD,2018,3613.3
13,BRB,2018,241.5964999
14,BLR,2018,1421.0
15,BEL,2018,27137.1750601106
16,BLZ,2018,118.27554695
17,BEN,2018,194.073683336
18,BMU,2018,95.4163715
19,BOL,2018,302.3687813
20,BIH,2018,581.3830514458
21,BWA,2018,285.9550619291
22,BRA,2018,59802.4064898
23,VGB,2018,34389.7091232
24,BRN,2018,517.303114568
25,BGR,2018,1142.612471598
26,BFA,2018,268.4149081386
27,BDI,2018,
28,CPV,2018,103.1895886379
29,KHM,2018,3212.633447
30,CMR,2018,761.5495497498
31,CAN,2018,37661.9247456047
32,CYM,2018,20680.8117761
33,CAF,2018,18.0035354551
34,TCD,2018,460.89050765
35,CHL,2018,13030.5193619
36,CHN,2018,138305.89
37,HKG,2018,104245.7102762008
38,MAC,2018,2613.4384274922
39,TWN,2018,7114.0
40,COL,2018,11298.6927739
41,congo,2018,4315.2509183882
42,COK,2018,11.5587222
43,CRI,2018,2487.1804005
44,cote_divoire,2018,620.3306458028
45,HRV,2018,1199.036387599
46,CWU,2018,0.0
47,CYP,2018,-413.4801654522
48,CZE,2018,11010.363960433
49,COD,2018,1616.7948841
50,DNK,2018,-2497.2211308394
51,DOM,2018,2535.3
52,ECU,2018,1389.1987631
53,EGY,2018,8141.3
54,SLV,2018,826.01
55,GNQ,2018,396.0777800117
56,EST,2018,1426.3191343124
57,FJI,2018,470.9731816919
58,FIN,2018,-2171.7770545082
59,FRA,2018,41832.9845578267
60,PYF,2018,5.9378413702
61,GAB,2018,1379.0708158589
62,GMB,2018,51.94
63,GEO,2018,1351.5297
64,DEU,2018,72022.4027247004
65,GHA,2018,2908.16
66,GRC,2018,3973.2651764584
67,GTM,2018,980.65193
68,GIN,2018,352.76
69,GNB,2018,20.5638182321
70,GUF,2018,1231.06
71,HTI,2018,105.0
72,HND,2018,961.3
73,HUN,2018,6460.3310740465
74,ISL,2018,-381.4675241156
75,IND,2018,42156.1933670502
76,IDN,2018,20563.47
77,IRN,2018,2373.0
78,IRQ,2018,-4885.1
79,IRL,2018,-12017.4025593666
80,ISR,2018,21514.605
81,ITA,2018,37681.9261855612
82,JAM,2018,774.6206031
83,JPN,2018,9962.7208448871
84,JOR,2018,954.9295774648
85,KAZ,2018,3897.7586346
86,KEN,2018,1139.4382243
87,KIR,2018,-1.1443647
88,KOR,2018,12182.6
89,KWT,2018,204.0169957974
90,KGZ,2018,144.0
91,lao,2018,1358.0195062
92,LVA,2018,963.6596391945
93,LBN,2018,2658.0038446
94,LBR,2018,129.13
95,LTU,2018,976.6383394822
96,LUX,2018,-83336.4825478405
97,MDG,2018,352.5516225792
98,MWI,2018,77.012306
99,MYS,2018,7618.3376991572
100,MLI,2018,467.2953914129
101,MLT,2018,4023.6167467748
102,MRT,2018,772.8904771887
103,MUS,2018,460.5113682408
104,MEX,2018,34097.227208
105,MNG,2018,2173.741
106,MNE,2018,489.8148206715
107,MAR,2018,3558.8788615338
108,MOZ,2018,2703.0312939
109,NAM,2018,208.5567579788
110,NLD,2018,99381.3302045887
111,NCL,2018,345.2953720801
112,NZL,2018,2297.859620912
113,NIC,2018,837.6
114,NER,2018,466.0422733311
115,NGA,2018,775.2474
116,NOR,2018,225.7608361512
117,OMN,2018,6455.1365409623
118,PAK,2018,1737.0
119,PAN,2018,4750.5034767
120,PNG,2018,305.6634642624
121,PRY,2018,164.3012466
122,PER,2018,6761.1857889
123,PHL,2018,9948.598824
124,POL,2018,15996.269918158
125,PRT,2018,7181.3826600313
126,QAT,2018,-2186.2637363
127,MDA,2018,296.99
128,ROU,2018,6218.911348037
129,RUS,2018,13227.64206
130,RWA,2018,381.9115985
131,STP,2018,23.203612
132,SAU,2018,4247.1190934
133,SEN,2018,847.8415753981
134,SRB,2018,4411.8794125914
135,SYC,2018,-66.125331
136,SLE,2018,250.0
137,SGP,2018,73561.0249384287
138,SMX,2018,-47.9150834637
139,SVK,2018,1675.0848941628
140,SVN,2018,1384.17299521
141,SLB,2018,24.838211356
142,ZAF,2018,5449.5540137104
143,ESP,2018,58062.8551723486
144,LKA,2018,1614.0440092
145,PSE,2018,251.6283945
146,SUR,2018,119.19076
147,SWZ,2018,36.4744492772
148,SWE,2018,5269.1291522203
149,CHE,2018,-101147.6685452145
150,THA,2018,13751.7620619
151,tfyr_de_macedonia,2018,725.2026713275
152,TLS,2018,47.926
153,TON,2018,15.0474744
154,TTO,2018,-700.1857012
155,TUN,2018,1035.9417379113
156,UGA,2018,1055.3533526
157,UKR,2018,4732.0
158,ARE,2018,10385.286
159,GBR,2018,87837.4772524722
160,USA,2018,203234.0
161,URY,2018,-11.1216036
162,VEN,2018,886.0
163,VNM,2018,15500.0
164,YEM,2018,-282.0983333
165,ZMB,2018,408.4384917
166,ZWE,2018,745.0079428
167,AFG,2019,23.4045536
168,ALB,2019,1287.9669889262
169,DZA,2019,1381.81231
170,AGO,2019,-4098.4787476
171,ARG,2019,6649.187838
172,ARM,2019,100.2872144
173,ABW,2019,-136.116582905
174,AUS,2019,38886.1507104241
175,AUT,2019,4905.4797083992
176,AZE,2019,1503.9
177,BHS,2019,610.9571738
178,BHR,2019,1548.1382978723
179,BGD,2019,2873.95
180,BRB,2019,215.3701286
181,BLR,2019,1293.1
182,BEL,2019,11860.8358446885
183,BLZ,2019,93.9102417
184,BEN,2019,218.2078716252
185,BMU,2019,4.9853965
186,BOL,2019,-216.6368431
187,BIH,2019,457.5139829327
188,BWA,2019,93.6071271335
189,BRA,2019,65386.0413218
190,VGB,2019,39103.3616106
191,BRN,2019,374.573290652
192,BGR,2019,1835.2701942065
193,BFA,2019,162.9695429534
194,BDI,2019,1.0449574151
195,CPV,2019,123.2313303446
196,KHM,2019,3663.0329995
197,CMR,2019,1026.9153278401
198,CAN,2019,50543.6793832949
199,CYM,2019,28165.1289833
200,CAF,2019,25.601157287
201,TCD,2019,566.6389479523
202,CHL,2019,14403.4339009
203,CHN,2019,141224.62
204,HKG,2019,73714.027343577
205,MAC,2019,6682.634344716
206,TWN,2019,8240.0
207,COL,2019,13989.15403
208,congo,2019,3366.0850121848
209,COK,2019,8.5691089
210,CRI,2019,2812.2612876
211,cote_divoire,2019,935.684596869
212,HRV,2019,401.4847690729
213,CWU,2019,203.2304536313
214,CYP,2019,52329.652888469
215,CZE,2019,10108.4069717581
216,COD,2019,1488.0535699
217,DNK,2019,27029.3773981561
218,DOM,2019,3021.0
219,ECU,2019,979.0204962
220,EGY,2019,9010.0
221,SLV,2019,636.16817
222,GNQ,2019,452.2871120704
223,EST,2019,3082.948026142
224,FJI,2019,321.006409482
225,FIN,2019,13456.0874802413
226,FRA,2019,13100.0944836758
227,PYF,2019,12.731152748
228,GAB,2019,1553.1368754115
229,GMB,2019,71.0833058
230,GEO,2019,1352.18174
231,DEU,2019,52683.664399357
232,GHA,2019,3292.07
233,GRC,2019,5019.2067714794
234,GTM,2019,976.14102
235,GIN,2019,44.4
236,GNB,2019,71.65868036
237,GUF,2019,1695.29322
238,HTI,2019,75.0
239,HND,2019,498.1
240,HUN,2019,4256.1761074795
241,ISL,2019,-224.9060072325
242,IND,2019,50558.3310017797
243,IDN,2019,23883.25
244,IRN,2019,1508.0
245,IRQ,2019,-3508.2
246,IRL,2019,149433.097945092
247,ISR,2019,17362.681
248,ITA,2019,18145.5675513503
249,JAM,2019,665.415555
250,JPN,2019,13755.3732060788
251,JOR,2019,729.7183098592
252,KAZ,2019,3284.1810607
253,KEN,2019,1098.3759473
254,KIR,2019,-0.5582805
255,KOR,2019,9634.3
256,KWT,2019,350.7254974293
257,KGZ,2019,404.0
258,lao,2019,755.5241242
259,LVA,2019,924.6862112046
260,LBN,2019,1905.3627395
261,LBR,2019,86.68
262,LTU,2019,3021.6416874516
263,LUX,2019,163717.5968009887
264,MDG,2019,474.3114254
265,MWI,2019,55.2278316
266,MYS,2019,7812.7771595208
267,MLI,2019,720.6388353038
268,MLT,2019,3778.1053448206
269,MRT,2019,886.9163586447
270,MUS,2019,444.0777608829
271,MEX,2019,34567.04635
272,MNG,2019,2443.34
273,MNE,2019,416.4472570628
274,MAR,2019,1719.9614519008
275,MOZ,2019,2211.654426
276,NAM,2019,-178.9256710885
277,NLD,2019,-1140.2647781873
278,NCL,2019,723.4803567883
279,NZL,2019,4273.0791402454
280,NIC,2019,503.0
281,NER,2019,717.1476396195
282,NGA,2019,2305.0998117
283,NOR,2019,16714.7727272727
284,OMN,2019,4236.6710013004
285,PAK,2019,2234.0
286,PAN,2019,3920.9840219
287,PNG,2019,335.1767566888
288,PRY,2019,331.7178381
289,PER,2019,6241.0556564
290,PHL,2019,8671.36587
291,POL,2019,13510.1676705193
292,PRT,2019,12251.4775436707
293,QAT,2019,-2812.6373626
294,MDA,2019,508.62
295,ROU,2019,5791.0433057644
296,RUS,2019,32075.62193
297,RWA,2019,353.8444861
298,STP,2019,24.1917995
299,SAU,2019,4562.573671
300,SEN,2019,1065.4628196927
301,SRB,2019,4554.8498112565
302,SYC,2019,30.3973594
303,SLE,2019,342.0
304,SGP,2019,97483.5026441219
305,SMX,2019,73.8683381006
306,SVK,2019,2510.6377021212
307,SVN,2019,1462.9139146244
308,SLB,2019,32.8086159259
309,ZAF,2019,5124.9869622486
310,ESP,2019,17842.3689878604
311,LKA,2019,743.4662315
312,PSE,2019,131.8799842
313,SUR,2019,-7.7846764
314,SWZ,2019,130.2214963559
315,SWE,2019,8760.8313036451
316,CHE,2019,-83217.6163947393
317,THA,2019,5518.718141
318,tfyr_de_macedonia,2019,446.4021523023
319,TLS,2019,-106.2797498
320,TON,2019,1.742414
321,TTO,2019,183.9727653
322,TUN,2019,844.7969335132
323,UGA,2019,1273.609177
324,UKR,2019,6017.0
325,ARE,2019,17874.6594005
326,GBR,2019,53918.2712251658
327,USA,2019,229929.0
328,URY,2019,2017.6810442
329,VEN,2019,-1278.0
330,VNM,2019,16120.0
331,YEM,2019,-370.9827777
332,ZMB,2019,859.8209279
333,ZWE,2019,280.0
334,AFG,2020,12.970148
335,ALB,2020,1108.1591673843
336,DZA,2020,1142.64069
337,AGO,2020,-1866.4681131
338,ARG,2020,4722.6488131
339,ARM,2020,58.5827501
340,ABW,2020,137.183472067
341,AUS,2020,13582.8255057344
342,AUT,2020,-9351.4194625736
343,AZE,2020,507.0
344,BHS,2020,896.7839201
345,BHR,2020,1021.3829787234
346,BGD,2020,2563.58
347,BRB,2020,262.1
348,BLR,2020,1398.4
349,BEL,2020,6805.2075028612
350,BLZ,2020,76.2028135
351,BEN,2020,174.0199519567
352,BMU,2020,111.935757
353,BOL,2020,-1129.4872713
354,BIH,2020,429.046999862
355,BWA,2020,31.8071952391
356,BRA,2020,28318.4513242
357,VGB,2020,39619.63521
358,BRN,2020,577.4431163808
359,BGR,2020,3397.0831602525
360,BFA,2020,-102.2436256073
361,BDI,2020,8.7221191164
362,CPV,2020,67.8999101541
363,KHM,2020,3624.6449901
364,CMR,2020,675.1869937
365,CAN,2020,26884.3301249
366,CYM,2020,23621.0494316
367,CAF,2020,1.7373598234
368,TCD,2020,557.6925033123
369,CHL,2020,10832.5614959
370,CHN,2020,149342.26
371,HKG,2020,134709.8520738664
372,MAC,2020,-6980.4189778475
373,TWN,2020,6053.0
374,COL,2020,7458.62498
375,congo,2020,4015.5314509042
376,COK,2020,5.3165523
377,CRI,2020,1762.6553921
378,cote_divoire,2020,712.9158938811
379,HRV,2020,146.3506659151
380,CWU,2020,155.743256257
381,CYP,2020,-24450.8417723008
382,CZE,2020,9411.4762128585
383,COD,2020,1646.9210563
384,DNK,2020,1685.2252897823
385,DOM,2020,2559.6
386,ECU,2020,1094.6859008
387,EGY,2020,5851.8
388,SLV,2020,293.44233
389,GNQ,2020,410.0169183231
390,EST,2020,3419.3445516079
391,FJI,2020,240.6394304698
392,FIN,2020,-1578.5157383273
393,FRA,2020,11359.1454541716
394,PYF,2020,-15.5476129028
395,GAB,2020,1716.5115055221
396,GMB,2020,189.9
397,GEO,2020,589.79809
398,DEU,2020,56204.0739869287
