id_rs,sede_id,plataforma
https://twitter.com/ArgPortoAlegre,CALEG,X
https://www.facebook.com/ArgentinaEnPortoAlegre/,CALEG,Facebook
https://www.instagram.com/argenportoalegre/,CALEG,Instagram
https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/,CANTO,Facebook
https://www.facebook.com/profile.php?id=100014152878593,CAREN,Facebook
@ArgentinaEnAsuncion,CASUN,X
facebook.com/ArgEnBarcelona,CBARC,Facebook
twitter.com/ARGenBarcelona,CBARC,X
instagram.com/argenbarcelona,CBARC,Instagram
Consulado  Argentino  en  Barcelona,CBARC,Desconocida
linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/,CBARC,Linkedin
https://www.facebook.com/ArgentinaEnBeloHorizonte/,CBELO,Facebook
https://twitter.com/consgralbelo,CBELO,X
https://www.instagram.com/consgralbelo/,CBELO,Instagram
https://www.facebook.com/ConsuladoArgentinoenBonn,CBONN,Facebook
http://www.instagram.com/consulado.argentino.bonn,CBONN,Instagram
www.facebook.com/ArgentinaEnCadiz,CCADI,Facebook
https://www.facebook.com/ArgEnCiudaddeleste/,CCEST,Facebook
https://www.instagram.com/argenciudaddeleste,CCEST,Instagram
https://twitter.com/argenchicago,CCHIC,X
https://www.facebook.com/ArgentinaEnChicago,CCHIC,Facebook
https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured,CCHIC,Youtube
wwww.facebook.com/ArgentinaEnCochabamba,CCOCH,Facebook
https://www.facebook.com/ArgentinaenColonia,CCOLO,Facebook
https://www.facebook.com/ArgEnCuritiba/,CCURI,Facebook
https://instagram.com/argEncuritiba,CCURI,Instagram
https://twitter.com/ARGenCuri,CCURI,X
https://twitter.com/argentinaenfoz,CFDIG,X
https://www.facebook.com/ArgentinaEnFozDeIguazu,CFDIG,Facebook
https://www.instagram.com/argentinaenfoz/,CFDIG,Instagram
@argenflorianopolis,CFLOR,X
https://www.facebook.com/cflor.mrecic.gov.ar,CFLOR,Facebook
https://www.facebook.com/argenmumbai,CGMUM,Facebook
https://www.instagram.com/argenmumbai,CGMUM,Instagram
https://twitter.com/cgmum1,CGMUM,X
https://www.facebook.com/ArgentinaEnIsrael/,CGTEL,Facebook
@ARGenHouston,CHOUS,X
https://www.facebook.com/ArgentinaEnHouston/,CHOUS,Facebook
https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel  ,CLANG,Facebook
@arg_clang,CLANG,X
https://www.instagram.com/consuladoargentinoenlondres/,CLOND,Instagram
https://www.facebook.com/ArgentinaEnMadridEsp/,CMADR,Facebook
https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal,CMALD,Facebook
https://www.instagram.com/consulado_argentino/,CMALD,Instagram
https://www.facebook.com/ArgentinaEnPalmaDeMallorca,CMALL,Facebook
https://www.facebook.com/ArgentinaEnMontevideo/,CMDEO,Facebook
